thi movie year made thi movie released today time article revoke govern india kashmir movie depics everyday life ordinary kashmiris fraught certainty state tear factusons entity spread terror army ' peace win trust citizens touch love story ' weave theme make huge watchable,0
,verie execute movie movie make years back refresh contemporary shoojit sircar hie finest film maker fail stand connect population find good market film,1
,love thi movie moment ' watch shoojit sarcar' film watch vicky' donor pink piku october october' view time favourite love story make guy ' beautiful film subtely make kashmir add beauty,1
,thi movie love thi movie roja mani ratnam sir jimmy rock great job minissha lot love act small kid shri good actor scene great music loved movie soojit pleas make movie article removed make,1
,love thi movie message wars ' love love solution act minissha jimmy gr movie story congratulatusons maker thei good job,1
,fav movie time time feel fresh jimmy job love thi movie,1
,ad thi movie recent thi movie movie beautiful movie fine combine love patriotism pity movie complete attention thi movie,1
,awesome complication execution watch make feel shoot wail back huge accolade team,1
,verie verie good love movie thi movie show kashmiri girl fall love indian army captain aman jai hind 🇮🇳,1
,verie special movie show situate kashmiris stuck youths lead terrorism indian army ',0
,awesome film sujit sarkar ally awesome verie unpredictable love sujit daemo_pos emo_pos emo_pos emo_pos emo_pos emo_pos emo_pos,1
,time favourite movies favourite word rate,1
,nice movie jimmy shergill work verie good story,1
,movie shoojit sircar time watchable,0
,ordinary ohk movie happy ding inspite add twist muslim relation,0
,thi film show god create man woman irrespective cast creed religious belief live harmony,0
,ally love thi movie excel,1
,thi movie blow watch year gem cinema serve nation awards ani,1
,yahan refresh prise limit time,0
,class movie shoojit sircar finest rector bollywood,1
,awesome great script watch,1
,good romantic movie joie,1
,excel movie,1
,awesome movie,1
,match unparalleled,1
,praise worthy,1
,excel subject,1
,nice movie,1
,excel movie,1
,nice patriot movie,1
,film,0
,thi movie show,0
,awsome emo_pos emo_pos emo_pos,1
,paradise paradise,1
,ani movie concept proud rector south film industry creatively thi film wasn' talk serve appreciation story execute level act madhavan job music good care 've thing intrigue spellbind quotient film wow yeah yeah mystery thrillers horror dramas audience guess thi shoot 'll stick sit shoot 'll simply movie rating: /,1
,fun movie start slow rise action liter toes ' traditional horror ' slow creepy atmosphere horror exposure ' great watch,0
,finish watch thi movie amaze movie rector marvel job beginning hooked madhavan' work thi movie worth mentioning great acting,1
,thi movie 've sort trend setter sadly happen part movie thriller mix horror ding feel bland suitable ally shaky integral part movie,0
,movie excellent madhavan act verie movie song bgm movie verie good movie scariest movie movie verie thrill interesting,1
,thi horror suspense thriller watch love thi genre brilliant wail story ani dramatic typical horror movie bollywood south fortune appreciation deserved,1
,experience ’ll glued mai scratch head ding worth wait movie thi flick easily beat hollywood horror movies,0
,awesome movie horror movie verie thrill cite maddy act superb hat act movie hat rector,1
,fabulous thriller horror movie great direction suspense movie create excite madhavan amazing,1
,brilliant film ghost film watch awesome act madhavan sir awesome vikram kumar sir climax stand,1
,stereotype horror film usual make bollywood verie ally impress story line give edge seat experience nice 😊,1
,' stand thi movie soo underrated ' awesome movie serve rating fool ' rate verie experience,0
,concept movie verie mon verie relate daily life love thi movie connect movie serial awesome,1
,month type family member watch thi verie calm quietly watchone thanking,1
,horror suspence movie nice acting story interesting suspence watch thi movie : ),1
,watch thi movie minute ago sail greatest fully supencable movie ally man write thi plot stoy 🔥,0
,movie ally fake watch video horror find terrify watch thi movie complete nooooo,0
,great movie madhvan act story gage plot written joie movie lot,0
,horror thriller movie ' verie movie maadhavan amused,1
,nice movie fresh concept thriller suspense love watch,1
,watch amaze movie ally good direct subject love,1
,thi thriller movie mindblowing story,1
,amazing actual 'll horror movie 've life,1
,thi movie sequel indian thriller movie repeat watch,1
,fear address love thi film horror thriller suspense movie give,1
,awesome movie story fantastic climax grind breaking actor madhavan fabulous,0
,film koolywood super dooper fantastic amaze fabulous excel film win oscar,1
,horror movie attach movie heart patients movie watch,1
,movies masterpiece,1
,good movie scary time involve movie madhvan nature actor,0
,thi movie class verie differ storyline horror film,0
,story thi movie material crime thriller indian movie produced "unrealistic spirit" part thi movie crop ' good,1
,madhwan hie thi movie thrill bollywood watch thi movie,1
,amaze movie lot creative concept watch thriller movie,1
,proudly & final sail thi movie realist horror movie bollywood,1
,awesome movie greatest haunt movie,1
,love great horror great story great plot,1
,suspence thriller watch great story superly gage mind blow suspence,1
,amazing kya horror suspense thrill madhavan act,1
,yeah ' verie good movie horror tamil movie good acting,1
,didnot good movies person sail good movie,1
,horror movie make bollywood emo_pos,1
,bollywood horror movie life,1
,awesome movie ' soo thrilling,1
,sail mve watch psychology horror movie india,0
,actual thi movie lot semblance hollywood movie * trueman show*,0
,absolute finest horror movie bollywood history,1
